epoch	pswpout	pswpin	allocstall	memavail_kb	swpd_kb	runq
1789668266	30158417	23143461	1652646	37178392	29845660	5.92
1789668276	30158417	23143545	1652646	37253620	29808832	5.69
1789668286	30158417	23143665	1652646	37122796	29811688	5.88
1789668296	30158417	23143895	1652646	36977068	29050064	5.81
1789668306	30158417	23143995	1652646	36857168	29052012	5.76
1789668316	30158417	23144025	1652646	36740680	29050992	5.41
1789668326	30158417	23144052	1652646	36759648	29047800	5.12
1789668336	30158417	23144082	1652646	36716472	29047608	5.26
1789668346	30158417	23144109	1652646	36651596	29047360	4.99
1789668356	30158417	23144234	1652646	36574276	29052116	4.84
1789668366	30158417	23235767	1652646	34881436	28951384	4.87
1789668376	30158417	23236039	1652646	35264572	28912280	4.65
1789668386	30158417	23238972	1652646	34743284	28844700	4.63
1789668396	30158417	23239641	1652646	34818984	28620784	4.60
1789668406	30158417	23239762	1652646	34689988	28617116	4.89
1789668416	30158417	23239809	1652646	34545224	28616532	5.14
1789668426	30158417	23248831	1652646	34345448	28492612	5.04
1789668436	30158417	23248868	1652646	34235348	28492524	5.04
1789668446	30158417	23249024	1652646	34104296	28492292	4.88
1789668456	30158417	23249385	1652646	34301592	28491452	4.98
1789668466	30158417	23249455	1652646	34498084	28491196	5.21
1789668476	30158417	23249687	1652646	34233220	28490180	5.10
1789668486	30158417	23250299	1652665	33176056	28486300	5.16
1789668496	30158417	23250500	1652665	33721668	28462812	4.90
1789668506	30158417	23250594	1652665	33949412	28462776	5.06
1789668516	30158417	23250622	1652665	33988660	28461424	5.05
1789668526	30158417	23250636	1652665	33969556	28461084	4.81
1789668536	30158417	23250651	1652665	33841916	28461032	4.99
1789668546	30158417	23250810	1652665	33876456	28459328	5.07
1789668556	30158417	23250880	1652665	33900120	28459088	4.97
1789668566	30158417	23250902	1652665	33885316	28458724	4.67
1789668576	30158417	23252560	1652665	33410064	28457984	4.81
1789668586	30158417	23252587	1652665	33356416	28457956	4.91
1789668596	30158417	23253768	1652665	32995144	28457708	5.01
1789668606	30158417	23254005	1652665	32826908	28457672	5.09
1789668616	30158417	23254012	1652665	32087384	28457656	5.00
